CONSTRAINT_NAME,DELETE_RULE,TABLE_NAME,constraint_columns,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME
config_backup_ibfk_1,RESTRICT,config_backups,config_workload_id,config_workloads,id
config_backup_metadata_ibfk_1,RESTRICT,config_backup_metadata,config_backup_id,config_backups,id
config_workload_metadata_ibfk_1,RESTRICT,config_workload_metadata,config_workload_id,config_workloads,id
flowdetails_ibfk_1,CASCADE,flowdetails,parent_uuid,logbooks,uuid
restored_vms_ibfk_1,RESTRICT,restored_vms,restore_id,restores,id
restored_vm_metadata_ibfk_1,RESTRICT,restored_vm_metadata,restored_vm_id,restored_vms,id
restored_vm_resources_ibfk_1,RESTRICT,restored_vm_resources,restore_id,restores,id
restored_vm_resource_metadata_ibfk_1,RESTRICT,restored_vm_resource_metadata,restored_vm_resource_id,restored_vm_resources,id
restores_ibfk_1,RESTRICT,restores,snapshot_id,snapshots,id
restore_metadata_ibfk_1,RESTRICT,restore_metadata,restore_id,restores,id
scheduled_jobs_ibfk_1,RESTRICT,scheduled_jobs,workload_id,workloads,id
setting_metadata_settings,CASCADE,setting_metadata,settings_name, settings_project_id,settings,name
snapshots_ibfk_1,RESTRICT,snapshots,workload_id,workloads,id
snapshots_ibfk_2,RESTRICT,snapshots,vault_storage_id,vault_storages,id
snapshot_metadata_ibfk_1,RESTRICT,snapshot_metadata,snapshot_id,snapshots,id
snapshot_vms_ibfk_1,RESTRICT,snapshot_vms,snapshot_id,snapshots,id
snapshot_vm_metadata_ibfk_1,RESTRICT,snapshot_vm_metadata,snapshot_vm_id,snapshot_vms,id
snapshot_vm_resources_ibfk_1,RESTRICT,snapshot_vm_resources,snapshot_id,snapshots,id
snapshot_vm_resource_metadata_ibfk_1,RESTRICT,snapshot_vm_resource_metadata,snapshot_vm_resource_id,snapshot_vm_resources,id
snap_network_resource_metadata_ibfk_1,RESTRICT,snap_network_resource_metadata,snap_network_resource_id,snap_network_resources,id
taskdetails_ibfk_1,CASCADE,taskdetails,parent_uuid,flowdetails,uuid
task_status_messages_ibfk_1,RESTRICT,task_status_messages,task_id,tasks,id
vault_storage_metadata_ibfk_1,RESTRICT,vault_storage_metadata,vault_storage_id,vault_storages,id
vm_disk_resource_snaps_ibfk_1,RESTRICT,vm_disk_resource_snaps,snapshot_vm_resource_id,snapshot_vm_resources,id
vm_disk_resource_snap_metadata_ibfk_1,RESTRICT,vm_disk_resource_snap_metadata,vm_disk_resource_snap_id,vm_disk_resource_snaps,id
vm_network_resource_snaps_ibfk_1,RESTRICT,vm_network_resource_snaps,vm_network_resource_snap_id,snapshot_vm_resources,id
vm_network_resource_snap_metadata_ibfk_1,RESTRICT,vm_network_resource_snap_metadata,vm_network_resource_snap_id,vm_network_resource_snaps,vm_network_resource_snap_id
vm_recent_snapshot_ibfk_1,RESTRICT,vm_recent_snapshot,snapshot_id,snapshots,id
vm_security_group_rule_snaps_ibfk_1,RESTRICT,vm_security_group_rule_snaps,vm_security_group_snap_id,snapshot_vm_resources,id
vm_security_group_rule_snap_metadata_ibfk_1,RESTRICT,vm_security_group_rule_snap_metadata,vm_security_group_rule_snap_id,vm_security_group_rule_snaps,id
workloads_ibfk_1,RESTRICT,workloads,workload_type_id,workload_types,id
workloads_ibfk_2,RESTRICT,workloads,vault_storage_id,vault_storages,id
workload_metadata_ibfk_1,RESTRICT,workload_metadata,workload_id,workloads,id
workload_policy_assignmnents_workload_policy,RESTRICT,workload_policy_assignments,policy_id,workload_policy,id
workload_policy_metadata_workload_policy,RESTRICT,workload_policy_metadata,policy_id,workload_policy,id
workload_policy_values_workload_policy,RESTRICT,workload_policy_values,policy_id,workload_policy,id
workload_policy_values_workload_policy_fields,RESTRICT,workload_policy_values,policy_field_name,workload_policy_fields,field_name
workload_type_metadata_ibfk_1,RESTRICT,workload_type_metadata,workload_type_id,workload_types,id
workload_vms_ibfk_1,RESTRICT,workload_vms,workload_id,workloads,id
workload_vm_metadata_ibfk_1,RESTRICT,workload_vm_metadata,workload_vm_id,workload_vms,id
